Year,Round,Team,Player,Score,Opposition,Venue
2014,2,GEE,Andrew Mackie,92,BL,Gabba
2014,2,GWS,Stephen Coniglio,92,STK,Etihad
2014,2,NM,Ryan Bastinac,92,WB,Etihad
2014,2,GEE,Mathew Stokes,91,BL,Gabba
2014,2,ADE,Scott Thompson,91,PA,Adelaide
2014,2,ESS,David Zaharakis,91,HAW,Etihad
2014,2,WCE,Xavier Ellis,90,MEL,MCG
2014,2,MEL,Jimmy Toumpas,90,WCE,MCG
2014,2,WB,Tom Liberatore,90,NM,Etihad
2014,2,GWS,Tom Scully,89,STK,Etihad
2014,2,RIC,Dustin Martin,89,CAR,MCG
2014,2,GCS,David Swallow,89,FRE,Domain
2014,2,HAW,Ben McEvoy,89,ESS,Etihad
2014,2,SYD,Jarrad McVeigh,89,COL,Olympic
2014,2,RIC,Ricky Petterd,88,CAR,MCG
2014,2,GCS,Michael Rischitelli,88,FRE,Domain
2014,2,GEE,Jordan Murdoch,88,BL,Gabba
2014,2,FRE,Stephen Hill,88,GCS,Domain
2014,2,ESS,Dyson Heppell,88,HAW,Etihad
2014,2,CAR,Jarrad Waite,88,RIC,MCG
2014,2,GCS,Trent McKenzie,87,FRE,Domain
2014,2,WB,Matthew Boyd,87,NM,Etihad
