year,round,player,prev rd score,three rd av,five rd av,season av,prev against opp,prev at venue,three rd av team for,three rd av opp against,last team opp,last team venue,score
2014,2,Xavier Ellis,56,,,56,,,,,,,90
2014,2,Jimmy Toumpas,66,,,66,,,,,,,90
2014,2,Tom Liberatore,84,,,84,,,,,,,90
2014,2,Tom Scully,79,,,79,,,,,,,89
2014,2,Dustin Martin,100,,,100,,,,,,,89
2014,2,David Swallow,114,,,114,,,,,,,89
2014,2,Ben McEvoy,89,,,89,,,,,,,89
2014,2,Jarrad McVeigh,83,,,83,,,,,,,89
2014,2,Ricky Petterd,81,,,81,,,,,,,88
2014,2,Michael Rischitelli,94,,,94,,,,,,,88
2014,2,Jordan Murdoch,68,,,68,,,,,,,88
2014,2,Stephen Hill,76,,,76,,,,,,,88
2014,2,Dyson Heppell,150,,,150,,150,,,,2012,88
2014,2,Jarrad Waite,58,,,58,,,,,,,88
2014,2,Trent McKenzie,49,,,49,,,,,,,87
2014,2,Matthew Boyd,118,,,118,,,,,,,87
2014,2,Heritier Lumumba,84,,,84,,,,,,,87
2014,2,Mitch Robinson,69,,,69,,,,,,,86
2014,2,Michael Walters,79,,,79,,,,,,,86
2014,2,Toby Greene,85,,,85,,,,,,,86
2014,2,Tom Bell,62,,,62,,,,,,,86
2014,2,Dion Prestia,125,,,125,,,,,,,86
2014,2,David Astbury,58,,,58,,,,,,,85
2014,2,Michael Johnson,87,,,87,,,,,,,85
2014,2,Leigh Adams,81,,,81,,81,,,,1289,84
2014,2,Jack Watts,86,,,86,,,,,,,84
2014,2,Mark LeCras,139,,,139,,,,,,,83
2014,2,Matthew Lobbe,83,,,83,,,,,,,83
2014,2,James Aish,66,,,66,,,,,,,83
2014,2,Jack Macrae,122,,,122,,,,,,,82
2014,2,Heath Hocking,53,,,53,,53,,,,2012,82
2014,2,Cyril Rioli,,,,,,,,,,,82
2014,2,Eddie Betts,75,,,75,,,,,,,82
2014,2,Scott D Thompson,66,,,66,,66,,,,1289,82
2014,2,Jamie Cripps,66,,,66,,,,,,,82
2014,2,Dale Thomas,65,,,65,,,,,,,81
2014,2,Josh Gibson,41,,,41,,,,,,,81
2014,2,Liam Shiels,109,,,109,,,,,,,81
