trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
19,False,"{'a': 0.3, 'e': 0.9985719267115775}",20,0,-64.65599264380832,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
20,False,"{'a': 0.3, 'e': 0.998498817743263}",25,10,-142.04590882391523,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 3}",1
21,False,"{'a': 0.3, 'e': 0.9984219719395961}",20,0,-123.16909464940846,"{0: 8, 1: 6, 2: 4, 3: 1, 4: 1}",0
22,False,"{'a': 0.3, 'e': 0.9983411989198255}",20,0,-105.80252993530192,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
23,False,"{'a': 0.3, 'e': 0.9982562986690452}",30,0,-215.476767321947,"{0: 15, 1: 8, 2: 3, 3: 0, 4: 4}",0
24,False,"{'a': 0.3, 'e': 0.9981670610575072}",25,0,-99.7852251251297,"{0: 13, 1: 3, 2: 8, 3: 1, 4: 0}",0
25,False,"{'a': 0.3, 'e': 0.9980732653366725}",30,0,-120.10674306359327,"{0: 18, 1: 4, 2: 6, 3: 1, 4: 1}",0
26,False,"{'a': 0.3, 'e': 0.9979746796109501}",30,0,-65.1570414549989,"{0: 20, 1: 5, 2: 4, 3: 1, 4: 0}",0
27,False,"{'a': 0.3, 'e': 0.9978710602840357}",30,0,-76.06668618271704,"{0: 21, 1: 4, 2: 4, 3: 0, 4: 1}",0
28,False,"{'a': 0.3, 'e': 0.9977621514787236}",30,0,-166.6831070665491,"{0: 17, 1: 6, 2: 4, 3: 0, 4: 3}",0
29,False,"{'a': 0.3, 'e': 0.997647684429022}",35,6,-265.68221651422743,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 5}",1
30,False,"{'a': 0.3, 'e': 0.9975273768433653}",30,0,-186.5490367813041,"{0: 18, 1: 1, 2: 8, 3: 0, 4: 3}",0
31,False,"{'a': 0.3, 'e': 0.9974009322376768}",25,0,-151.36653336372325,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
32,False,"{'a': 0.3, 'e': 0.997268039236989}",20,0,-98.10801982853381,"{0: 7, 1: 6, 2: 7, 3: 0, 4: 0}",0
33,False,"{'a': 0.3, 'e': 0.9971283708442995}",20,0,-74.31191516133528,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
34,False,"{'a': 0.3, 'e': 0.9969815836752917}",20,0,-130.07021942740172,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
35,False,"{'a': 0.3, 'e': 0.9968273171575148}",25,17,-6.058691897382733,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
36,False,"{'a': 0.3, 'e': 0.9966651926925867}",20,0,-101.77703211095537,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
37,False,"{'a': 0.3, 'e': 0.9964948127799336}",25,8,-35.304513932508335,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 0}",1
38,False,"{'a': 0.3, 'e': 0.9963157601005641}",20,0,-122.25637617061385,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
39,False,"{'a': 0.3, 'e': 0.9961275965593289}",30,0,-195.12776777693213,"{0: 16, 1: 4, 2: 7, 3: 0, 4: 3}",0
40,False,"{'a': 0.3, 'e': 0.995929862284104}",20,0,-181.5859157609493,"{0: 9, 1: 2, 2: 6, 3: 0, 4: 3}",0
41,False,"{'a': 0.3, 'e': 0.9957220745802952}",20,0,-195.31849380496058,"{0: 8, 1: 3, 2: 5, 3: 1, 4: 3}",0
42,False,"{'a': 0.3, 'e': 0.9955037268390589}",25,0,-96.360219882399,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
43,False,"{'a': 0.3, 'e': 0.9952742873976046}",30,0,-116.0033922450277,"{0: 18, 1: 4, 2: 7, 3: 0, 4: 1}",0
44,False,"{'a': 0.3, 'e': 0.995033198349943}",30,0,-91.95520371672531,"{0: 21, 1: 1, 2: 7, 3: 0, 4: 1}",0
45,False,"{'a': 0.3, 'e': 0.9947798743064417}",25,0,-109.25054673722069,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
46,False,"{'a': 0.3, 'e': 0.9945137011005495}",30,0,-134.24025364871605,"{0: 19, 1: 2, 2: 7, 3: 0, 4: 2}",0
47,False,"{'a': 0.3, 'e': 0.994234034441075}",25,0,-213.86078783912538,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 5}",0
48,False,"{'a': 0.3, 'e': 0.9939401985084158}",25,0,-134.00584795552044,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
49,False,"{'a': 0.3, 'e': 0.9936314844931846}",30,14,-234.5389080723049,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 6}",1
50,False,"{'a': 0.3, 'e': 0.9933071490757153}",30,0,-266.29165724515394,"{0: 13, 1: 1, 2: 12, 3: 0, 4: 4}",0
51,False,"{'a': 0.3, 'e': 0.9929664128450049}",25,0,-178.12259525739577,"{0: 11, 1: 2, 2: 10, 3: 0, 4: 2}",0
52,False,"{'a': 0.3, 'e': 0.9926084586557181}",20,0,-37.70526074427442,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
